BRANCH                                                                 HEAD       AHEAD    UNIQ_FILES CONTAINED CHERRY_UNIQ
origin/Ezzaldeen-Albitar-patch-1                                       60549c4    0        0        YES      0
origin/chore/p1-01-development-readiness                               fafc4ca    0        0        YES      0
origin/chore/remove-dead-shared-app-error                              f3dbba9    1        2        NO       1
origin/docs/p1-03-followup-corrections                                 227be2a    0        0        YES      0
origin/docs/p1-03-record-technical-gate                                f748d1c    0        0        YES      0
origin/docs/p1-04-record-technical-gate                                c1c3fa4    0        0        YES      0
origin/docs/p1-05-record-technical-gate                                2168cbc    0        0        YES      0
origin/docs/p1-06-record-technical-gate                                f69edde    0        0        YES      0
origin/docs/p1-07-record-technical-gate                                e3438f0    0        0        YES      0
origin/docs/p1-08-record-technical-gate                                5671572    0        0        YES      0
origin/docs/p1-09-record-technical-gate                                8ecb1bc    0        0        YES      0
origin/docs/p1-10-record-technical-gate                                4992068    0        0        YES      0
origin/docs/p1-11-record-technical-gate                                b873596    0        0        YES      0
origin/docs/p1-12-record-release-2-database-gate                       222470f    0        0        YES      0
origin/docs/p1-13-backend-foundation-gate-record                       fecb880    0        0        YES      0
origin/docs/p1-14-auth-administration-gate-record                      e74246b    0        0        YES      0
origin/docs/p1-15-shared-services-backend-gate-record                  21403e4    0        0        YES      0
origin/docs/p1-20-final-local-ci-billing-waiver                        99ebdc4    0        0        YES      0
origin/feature/p1-02-database-engineering-foundation                   141dbae    0        0        YES      0
origin/feature/p1-03-organization-structure-schema                     417b532    0        0        YES      0
origin/feature/p1-04-identity-access-and-scope-schema                  e2cfeee    0        0        YES      0
origin/feature/p1-05-shared-services-database                          da73b1f    0        0        YES      0
origin/feature/p1-06-crm-business-partner-database                     90e91c5    0        0        YES      0
origin/feature/p1-07-vehicle-database                                  4c9697a    0        0        YES      0
origin/feature/p1-08-appointment-reception-database                    e7ba638    0        0        YES      0
origin/feature/p1-09-work-order-diagnostics-technician-database        b9550bb    0        0        YES      0
origin/feature/p1-10-service-pricing-quotation-inventory-database      09f0836    0        0        YES      0
origin/feature/p1-11-billing-payment-delivery-warranty-reporting-database 1554219    0        0        YES      0
origin/feature/p1-12-database-integration-validation-release-gate      670000e    0        0        YES      0
origin/feature/p1-13-backend-architecture-shared-foundation            cf85615    0        0        YES      0
origin/feature/p1-14-auth-authorization-administration-backend         2359bfb    0        0        YES      0
origin/feature/p1-15-shared-services-backend                           a47b3d2    0        0        YES      0
origin/feature/p1-16-crm-backend                                       dd68990    0        0        YES      0
origin/feature/p1-17-vehicle-backend                                   f3e83d6    0        0        YES      0
origin/feature/p1-18-appointment-reception-backend                     e4a933d    0        0        YES      0
origin/feature/p1-19-module-foundation                                 da0b8b2    0        0        YES      0
origin/feature/p1-20-service-catalog-pricing-quotation-backend         e746253    0        0        YES      0
origin/feature/p1-21-inventory-backend                                 96c93ca    0        0        YES      0
origin/feature/platform-comprehensive-ci-automation                    acde82f    0        0        YES      0
origin/feature/security-codeql-application-remediation                 c0831e5    0        0        YES      0
origin/fix/ci-secret-scan-self-match                                   a5ccd27    0        0        YES      0
origin/fix/codeql-self-introduced-alerts                               1fcf78b    0        0        YES      0
origin/fix/main-restore-env-example                                    d9e71cd    0        0        YES      0
origin/fix/p1-13-post-gate-hardening                                   d997407    0        0        YES      0
origin/fix/p1-13-runtime-database-capabilities                         af240f0    0        0        YES      0
origin/fix/p1-14-grant-scope-and-operation-evidence                    d3c7e77    0        0        YES      0
origin/fix/p1-14-idempotency-replay-evidence                           c27b2a0    1        4        NO       0
origin/fix/p1-14-operation-evidence-completion                         57b8337    0        0        YES      0
origin/fix/p1-14-runtime-administration-capabilities                   7e9855c    0        0        YES      0
origin/fix/p1-15-number-allocation-function-hardening                  533ba9e    0        0        YES      0
origin/fix/p1-15-public-auth-throttle-restoration                      8246a9e    0        0        YES      0
origin/fix/p1-15-shared-services-runtime-write-capabilities            d39f576    0        0        YES      0
origin/fix/p1-16-crm-notes-write-capability                            a43f1a5    0        0        YES      0
origin/fix/p1-16-duplicate-candidate-rescore                           ddb93dd    0        0        YES      0
origin/fix/p1-16-status-race-determinism                               d522d2e    0        0        YES      0
origin/fix/p1-17-plate-assign-evidence                                 464922a    0        0        YES      0
origin/fix/p1-17-post-merge-review                                     6cb34be    0        0        YES      0
origin/fix/p1-18-final-gate-evidence-remediation                       d1ea977    0        0        YES      0
origin/fix/p1-18-post-merge-review                                     834e6e0    0        0        YES      0
origin/fix/p1-18-scoped-authorization-containment                      b9b4ff5    0        0        YES      0
origin/fix/p1-18-second-post-merge-review                              70c7898    0        0        YES      0
origin/fix/security-codeql-dataflow-elimination                        108a4ed    0        0        YES      0
origin/gate/p1-16-crm-backend                                          fa282dc    0        0        YES      0
origin/gate/p1-17-vehicle-backend                                      ad01c28    0        0        YES      0
origin/gate/p1-18-appointment-reception-backend                        315f9d3    0        0        YES      0
origin/gate/p1-19-work-order-diagnostics-technician-backend            600ca9c    0        0        YES      0
origin/gate/p1-20-service-catalog-pricing-quotation-backend            21c5e13    0        0        YES      0
origin/gate/p1-21-inventory-backend                                    3a7f8c6    0        0        YES      0
origin/gate/platform-comprehensive-ci-automation                       c98ac70    0        0        YES      0
origin/gate/security-codeql-application-remediation                    dfa90ed    0        0        YES      0
origin/main                                                            491c4e0    15       0        NO       0
origin/revert-13-feature/p1-02-database-engineering-foundation         867de0f    0        0        YES      0
